os_500_iters_p,os_1000_iters_p,os_5000_iters_p,os_20000_iters_p,os_500_iters_eps_q,os_1000_iters_eps_q,os_5000_iters_eps_q,os_20000_iters_eps_q,sloan_500_iters_p,sloan_1000_iters_p,sloan_5000_iters_p,sloan_20000_iters_p,sloan_500_iters_eps_q,sloan_1000_iters_eps_q,sloan_5000_iters_eps_q,sloan_20000_iters_eps_q
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7763568394002505e-15,1.7763568394002505e-15,0.0,0.0,0.0,0.0,0.0,0.0,1.7763568394002505e-15,1.7763568394002505e-15,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.7763568394002505e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7763568394002505e-15,0.0,0.0,0.0,0.0,0.0
1.7763568394002505e-15,1.7763568394002505e-15,0.0,0.0,6.776263578034403e-21,6.776263578034403e-21,6.776263578034403e-21,0.0,1.7763568394002505e-15,1.7763568394002505e-15,0.0,0.0,6.776263578034403e-21,6.776263578034403e-21,6.776263578034403e-21,0.0
1.7763568394002505e-15,1.7763568394002505e-15,0.0,0.0,0.0,0.0,0.0,0.0,1.7763568394002505e-15,1.7763568394002505e-15,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.7763568394002505e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7763568394002505e-15,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.7763568394002505e-15,0.0,1.3552527156068805e-20,1.3552527156068805e-20,1.3552527156068805e-20,0.0,0.0,0.0,1.7763568394002505e-15,0.0,1.3552527156068805e-20,1.3552527156068805e-20,1.3552527156068805e-20,0.0
0.0,0.0,1.7763568394002505e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7763568394002505e-15,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7763568394002505e-15,1.7763568394002505e-15,1.7763568394002505e-15,0.0,0.0,0.0,0.0,0.0,1.7763568394002505e-15,1.7763568394002505e-15,1.7763568394002505e-15,0.0,0.0,0.0,0.0,0.0
0.0,1.7763568394002505e-15,1.7763568394002505e-15,0.0,0.0,0.0,0.0,0.0,0.0,1.7763568394002505e-15,1.7763568394002505e-15,0.0,0.0,0.0,0.0,0.0
1.7763568394002505e-15,1.7763568394002505e-15,1.7763568394002505e-15,0.0,0.0,0.0,0.0,0.0,1.7763568394002505e-15,1.7763568394002505e-15,1.7763568394002505e-15,0.0,0.0,0.0,0.0,0.0
1.7763568394002505e-15,0.0,0.0,0.0,2.710505431213761e-20,2.710505431213761e-20,0.0,0.0,1.7763568394002505e-15,0.0,0.0,0.0,2.710505431213761e-20,2.710505431213761e-20,0.0,0.0
0.0,0.0,0.0,0.0,2.710505431213761e-20,2.710505431213761e-20,2.710505431213761e-20,0.0,0.0,0.0,0.0,0.0,2.710505431213761e-20,2.710505431213761e-20,2.710505431213761e-20,0.0
0.0,1.7763568394002505e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7763568394002505e-15,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,2.710505431213761e-20,2.710505431213761e-20,2.710505431213761e-20,0.0,0.0,0.0,0.0,0.0,2.710505431213761e-20,2.710505431213761e-20,2.710505431213761e-20,0.0
0.0,1.7763568394002505e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7763568394002505e-15,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.7763568394002505e-15,1.7763568394002505e-15,0.0,0.0,0.0,5.421010862427522e-20,0.0,0.0,1.7763568394002505e-15,1.7763568394002505e-15,0.0,0.0,0.0,5.421010862427522e-20,0.0
1.7763568394002505e-15,1.7763568394002505e-15,1.7763568394002505e-15,0.0,0.0,0.0,5.421010862427522e-20,0.0,1.7763568394002505e-15,1.7763568394002505e-15,1.7763568394002505e-15,0.0,0.0,0.0,5.421010862427522e-20,0.0
1.7763568394002505e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7763568394002505e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,5.421010862427522e-20,0.0,5.421010862427522e-20,0.0,0.0,0.0,0.0,0.0,5.421010862427522e-20,0.0,5.421010862427522e-20,0.0
1.7763568394002505e-15,1.7763568394002505e-15,0.0,0.0,5.421010862427522e-20,5.421010862427522e-20,0.0,0.0,1.7763568394002505e-15,1.7763568394002505e-15,0.0,0.0,5.421010862427522e-20,5.421010862427522e-20,0.0,0.0
0.0,0.0,0.0,0.0,5.421010862427522e-20,5.421010862427522e-20,0.0,0.0,0.0,0.0,0.0,0.0,5.421010862427522e-20,5.421010862427522e-20,0.0,0.0
1.7763568394002505e-15,1.7763568394002505e-15,0.0,0.0,5.421010862427522e-20,5.421010862427522e-20,0.0,0.0,1.7763568394002505e-15,1.7763568394002505e-15,0.0,0.0,5.421010862427522e-20,5.421010862427522e-20,0.0,0.0
1.7763568394002505e-15,1.7763568394002505e-15,1.7763568394002505e-15,0.0,0.0,0.0,0.0,0.0,1.7763568394002505e-15,1.7763568394002505e-15,1.7763568394002505e-15,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.7763568394002505e-15,0.0,5.421010862427522e-20,5.421010862427522e-20,5.421010862427522e-20,0.0,0.0,0.0,1.7763568394002505e-15,0.0,5.421010862427522e-20,5.421010862427522e-20,5.421010862427522e-20,0.0
0.0,0.0,0.0,0.0,5.421010862427522e-20,5.421010862427522e-20,5.421010862427522e-20,0.0,0.0,0.0,0.0,0.0,5.421010862427522e-20,5.421010862427522e-20,5.421010862427522e-20,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7763568394002505e-15,1.7763568394002505e-15,1.7763568394002505e-15,0.0,0.0,0.0,0.0,0.0,1.7763568394002505e-15,1.7763568394002505e-15,1.7763568394002505e-15,0.0,0.0,0.0,0.0,0.0
1.7763568394002505e-15,1.7763568394002505e-15,1.7763568394002505e-15,0.0,0.0,0.0,0.0,0.0,1.7763568394002505e-15,1.7763568394002505e-15,1.7763568394002505e-15,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0842021724855044e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0842021724855044e-19,0.0,0.0
